Customer ID,Customer Name,Type,City,Country,Latitude,Longitude,Age,Gender
1,Iris Deveral,Type-Person,Lyon,France,45.7417486,4.8867899,20,F
2,Devina Stebles,Type-Person,Guangdu,China,30.877555,119.420935,36,F
3,Jena Luna,Type-Person,P?shm?l,Afghanistan,31.5572,65.4343,37,F
4,Peirce Valadez,Type-Person,Santa Cristina Couto,Portugal,41.3258441,-8.4786662,73,M
5,Melisa Fraczkiewicz,Type-Person,Kadusimbar,Indonesia,-6.4222,106.0889,40,F
6,Correy Stucksbury,Type-Person,Corbeil-Essonnes,France,48.6140715,2.4739044,29,F
7,Arvin Rockingham,Type-Person,Veiga,Portugal,42.0952531,-8.2507177,58,Male
8,Wandis Orable,Type-Person,Oslo,Norway,59.9494208,10.9243808,59,F
9,Titus Francais,Type-Person,Chaiyaphum,Thailand,13.7387938,100.5072582,66,Male
10,Kenyon Handsheart,Type-Person,Eckerpland Islands,60.2231622,19.5595375,71,Male
11,Murvyn Abrashkov,Type-Person,Teluksantong,Indonesia,-8.7229245,117.8663075,47,Male
12,Catlaina Dudding,Type-Person,Masaya,Nicaragua,11.9704485,-86.0886366,71,F
13,Tine Sabbatier,Type-Person,Chenchang,China,33.770447,117.624455,74,F
14,Gloriane Tabourel,Type-Person,Sipocot,Philippines,13.7643349,122.9760543,35,F
15,Algernon Portman,Type-Person,Tagapul-an,Philippines,12.0457956,124.1609842,44,Male
16,Antoni Darnody,Type-Person,Santiago de los Caballeros,Dominican Republic,19.4771559,-70.6636064,58,Male
17,Jeno Frickey,Type-Person,Lodan Wetan,Indonesia,-6.7967069,111.6213566,53,M
18,Ceil Palin,Type-Person,Ndom,Cameroon,4.392584,10.81017,26,F
19,Berna Dallas,Type-Person,Komatsu,Japan,39.0008341,139.9181485,47,F
20,Ingar Okroy,Type-Person,Buena Esperanza,Argentina,-33.2843846,-66.3381678,21,M
21,Aaron Loch,Type-Person,IpÏCosta Rica,9.96752,-84.001624,30,M
22,Halli McMennum,Type-Person,Achiaman,Ghana,5.6956728,-0.3301342,46,F
23,Ashlie Beard,Type-Person,Winter Haven,United States,27.9890156,-81.6802054,50,F
24,Garey Binyon,Type-Person,Oslo,Norway,59.93387,10.7238762,72,M
25,Broderic Fantham,Type-Person,Ranot,Thailand,7.7896079,100.3048897,62,M
26,Bernardo Grendon,Type-Person,Yangon,Myanmar,16.8660694,96.195132,31,M
26,Bernardo Grendon,Type-Person,Yangon,Myanmar,16.8660694,96.195132,31,M
27,Craig De Ferrari,Type-Person,Frankfurt,Germany,50.1157078,8.6591469,39,M
28,Antonina Bresnahan,Type-Person,Liujiage,China,30.754014,113.820729,23,F
29,Letitia Egginson,Type-Person,Uralo-Kavkaz,Ukraine,48.3284147,39.7960619,33,F
30,Margo Johnston,Type-Person,Mikulintsy,Ukraine,49.3962315,25.605439,53,F
31,Stillman Hext,Type-Person,Jankomir,Croatia,45.8046263,15.8749256,,M
32,Vittoria Henmarsh,Type-Person,Zhangduangu,China,38.135005,114.955312,35,F
33,Kimmy Pendlington,Type-Person,Xishanzui,China,40.634244,108.893327,26,F
34,Rosemaria Fulks,Type-Person,L`Thao,Vietnam,21.3026143,105.3014109,34,F
35,Ali Pulteneye,Type-Person,Buenos Aires,Argentina,-38.0033365,-57.5430848,32,M
36,Tabbie Jinks,Type-Person,Suruhan,Indonesia,-8.1075296,110.8440632,74,M
37,Mattie Chin,Type-Person,Santo Antzo de P5a,Brazil,-21.5418158,-42.1837129,19,M
38,Ira Dingwall,Type-Person,Xinzhou,China,38.416663,112.734174,35,M
39,Nanine Pargiter,Type-Person,Carnaxide,Portugal,38.7263653,-9.2359767,42,Female
40,Dex Lowson,Type-Person,Chixi,China,30.169665,121.266579,36,M
41,Ethelyn Fraanchyonok,Type-Person,Ebu,China,22.825834,115.003687,54,Female
42,Emalia Muscat,Type-Person,Banjar Banyuning Barat,Indonesia,-8.1145,115.1021,22,Female
43,Stephie Hirschmann,Type-Person,Karano,Indonesia,-2.0669719,101.39186,50,Female
44,Tore Bearham,Type-Person,L?ng H?,Vietnam,23.0029267,105.2545888,22,M
45,Micah Fippe,Type-Person,Benito Juarez,Mexico,19.4102526,-99.0073673,67,M
46,Elysee Cobain,Type-Person,Dananshan,China,22.533012,113.930475,36,Female
47,Frasier Selesnick,Type-Person,Dolno Pal?i%,Macedonia,41.9690977,20.9265111,27,M
48,Astrix Mantrip,Type-Person,Voskehask,Armenia,40.765846,43.7732736,25,Female
49,Ophelia Heddan,Type-Person,Yaguachi Nuevo,Ecuador,-2.0983597,-79.6923047,69,Female
50,Hobard Maskelyne,Type-Person,Cisownica,Poland,49.72276,18.76207,26,M
51,Haskell Vampouille,Type-Person,Sibbo,Finland,60.1941783,24.93914,73,M
52,Andrej Flowitt,Type-Person,Th® Ph? Nam ??nh,Vietnam,20.4388225,106.1621053,34,M
53,Theresita Burn,Type-Person,Nawal,Nepal,27.6498409,83.8897057,29,Female
54,Cody Mellanby,Type-Person,Stepanovi?evo,Serbia,45.4141891,19.6990997,68,M
55,Alisun Anersen,Type-Person,Rzyki,Poland,49.8101924,19.3940342,31,Female
56,Zita Voase,Type-Person,Krasni Okny,Ukraine,47.535711,29.4562298,54,Female
57,Darci Hendrickson,Type-Person,Sayy?n,Yemen,15.1733158,44.3307515,24,Female
58,Gualterio Marzelle,Type-Person,Shimen,China,29.584292,111.380014,67,M
59,Bernardo Ouldred,Type-Person,Hornibina,Czech Republic,49.8687559,17.0138788,61,M
60,Ricardo Gooble,Type-Person,Micha?ûoland,50.4897179,20.449178,48,M
61,Georgine Forsdicke,Type-Person,Kadugedong,Indonesia,-6.3623241,106.0991261,41,Female
62,Sandy Kenninghan,Type-Person,Pasararba,Indonesia,-6.2810348,106.8280147,20,Female
63,Krissy McCue,Type-Person,Oemofa,Indonesia,-10.0828864,124.1253751,21,Female
64,Gus MacGettigen,Type-Person,Hangzhou,China,30.274084,120.15507,29,Female
65,Kaitlynn Gateland,Type-Person,Santa Cruz de Barahona,Dominican Republic,18.2051988,-71.0924706,68,Female
66,Vincent McCall,Type-Person,Xiacang,China,40.645924,115.540353,75,M
67,Christalle Dawidowitz,Type-Person,Majingklak,Indonesia,-7.3032329,108.6591293,23,Female
68,Feodor Mattaus,Type-Person,Sh≠©,Albania,42.1023509,20.2325862,74,M
69,Lazarus Dadswell,Type-Person,Novorossiysk,Russia,44.7154014,37.7619669,37,M
70,Anastasie Quare,Type-Person,Orleans,Brazil,-28.3031653,-49.3450112,65,Female
71,Leroy Bernardini,Type-Person,Czarna D?brû·,Poland,54.3562129,17.5647322,51,M
72,Sibbie Tatlow,Type-Person,Nepalgunj,Nepal,28.0547578,81.614468,39,Female
73,Kaleena Ley,Type-Person,Wang Noi,Thailand,14.2524816,100.7323332,,Female
74,Walton Taile,Type-Person,Kanoni,Uganda,0.1716468,31.9060633,72,M
75,Kristyn Doodney,Type-Person,Kafue,Zambia,-15.712819,28.5797981,25,Female
76,Fonsie Drust,Type-Person,Rob?t,Ethiopia,9.9932482,39.8964772,73,M
77,Isaak Ebbers,Type-Person,San Antonio,Honduras,14.8670094,-88.7722444,34,M
78,Corinne Garrioch,Type-Person,Listvyanskiy,Russia,54.4413911,83.4937253,42,Female
79,Even Vickery,Type-Person,Xinfang,China,39.0063718,117.6852235,48,M
80,Sissy Garnall,Type-Person,Anambongan,Philippines,15.868716,120.3920116,57,Female
81,Blondie De La Salle,Type-Person,Bayt Ú at Ta?t?,Palestinian Territory,31.89609,35.08178,33,Female
82,Dollie Angell,Type-Person,Fiditi,Nigeria,7.7102381,3.9190062,59,Female
83,Hugues Diddams,Type-Person,Stockholm,Sweden,59.3460413,18.0639973,54,M
84,Suzy Adamski,Type-Person,Casillas,Guatemala,14.4184896,-90.2440545,72,Female
85,Cletis Lindwasser,Type-Person,ShumsÏUkraine,50.122577,26.1149716,55,M
86,Stormie Savege,Type-Person,Jadûoland,52.4782901,21.631951,73,Female
87,Paton Archer,Type-Person,Hrvatska Kostajnica,Croatia,45.2280258,16.5396362,20,M
88,Evey Heiden,Type-Person,Privlaka,Croatia,45.1839187,18.8237103,31,Female
89,Marris Waterstone,Type-Person,Itapetinga,Brazil,-15.2475119,-40.2509918,65,Female
90,Abra Glass,Type-Person,Barice,Bosnia and Herzegovina,43.8903154,18.4410798,73,Female
91,Gaultiero Keeney,Type-Person,Daxi,China,24.1092009,117.1199596,60,M
92,Sully Farleigh,Type-Person,Bludov,Czech Republic,49.9396574,16.9280562,51,M
93,Holt Plume,Type-Person,Pulau Pinang,Malaysia,5.3523231,100.3573891,33,M
94,Konstantine Christensen,Type-Person,Bryukhovetskaya,Russia,45.8029045,38.9986184,74,M
95,Carry Bertouloume,Type-Person,Jal?lpur P?rw?la,Pakistan,29.5079723,71.2430776,75,Female
96,Forbes McLaughlin,Type-Person,Pamiers,France,43.1162469,1.6196332,57,M
97,Zacherie Durand,Type-Person,Chanhe,China,34.67985,112.500205,65,M
98,Trevor Dilland,Type-Person,Sv. Trojica v Slov. Goricah,Slovenia,46.5771983,15.8789679,65,M
99,Milton Tungate,Type-Person,Bungbulang,Indonesia,-7.4585953,107.6008169,66,M
100,Aloin Ausher,Type-Person,S‡SebastiÏPortugal,41.782855,-8.5011003,69,M
101,Allen Grundey,Type-Person,Tirlyanskiy,Russia,53.9766455,58.4428502,25,M
102,Lorri Bogaert,Type-Person,Jiquilillo,Nicaragua,12.7335527,-87.4424369,68,Female
